# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Lite Edition
# File: C:\Users\welly\Documents\GitHub\LT39A\pratica00\Quartus\atv00.csv
# Generated on: Wed Mar 27 16:42:08 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
Clock,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
DataInput[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
DataInput[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
DataInput[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
DataInput[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
DataInput[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
DataInput[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
DataInput[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
DataInput[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
DataOutOut,Output,PIN_AE23,4,B4_N0,PIN_E21,2.5 V,,,,,
En,Input,PIN_Y23,5,B5_N2,PIN_Y23,2.5 V,,,,,
ss[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
ss[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
ss[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
ss[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
ss[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
ss[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
ss[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
testClockOut,Output,PIN_E21,7,B7_N0,PIN_AE23,2.5 V,,,,,
