# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Lite Edition
# File: C:\Users\welly\Documents\GitHub\LT39A\pratica02\atv02.csv
# Generated on: Fri Apr 12 14:39:18 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ALUOut_ssD[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
ALUOut_ssD[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
ALUOut_ssD[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
ALUOut_ssD[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
ALUOut_ssD[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
ALUOut_ssD[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
ALUOut_ssD[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
ALUOut_ssU[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
ALUOut_ssU[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
ALUOut_ssU[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
ALUOut_ssU[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
ALUOut_ssU[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
ALUOut_ssU[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
