# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Lite Edition
# File: C:\Users\welly\Documents\GitHub\LT39A\pratica04\atv04.csv
# Generated on: Wed Jul 31 19:17:04 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
AluOutSsdD[6],Output,PIN_AH18,4,B4_N2,PIN_G14,,,,,,
AluOutSsdD[5],Output,PIN_AF18,4,B4_N1,PIN_D15,,,,,,
AluOutSsdD[4],Output,PIN_AG19,4,B4_N2,PIN_F15,,,,,,
AluOutSsdD[3],Output,PIN_AH19,4,B4_N2,PIN_C15,,,,,,
AluOutSsdD[2],Output,PIN_AB18,4,B4_N0,PIN_A10,,,,,,
AluOutSsdD[1],Output,PIN_AC18,4,B4_N1,PIN_R2,,,,,,
AluOutSsdD[0],Output,PIN_AD18,4,B4_N1,PIN_E15,,,,,,
AluOutSsdU[6],Output,PIN_AE18,4,B4_N2,PIN_H19,,,,,,
AluOutSsdU[5],Output,PIN_AF19,4,B4_N1,PIN_H21,,,,,,
AluOutSsdU[4],Output,PIN_AE19,4,B4_N1,PIN_J19,,,,,,
AluOutSsdU[3],Output,PIN_AH21,4,B4_N2,PIN_A18,,,,,,
AluOutSsdU[2],Output,PIN_AG21,4,B4_N2,PIN_G21,,,,,,
AluOutSsdU[1],Output,PIN_AA19,4,B4_N0,PIN_G20,,,,,,
AluOutSsdU[0],Output,PIN_AB19,4,B4_N0,PIN_B18,,,,,,
InputA[3],Input,PIN_AD27,5,B5_N2,PIN_D19,,,,,,
InputA[2],Input,PIN_AC27,5,B5_N2,PIN_G17,,,,,,
InputA[1],Input,PIN_AC28,5,B5_N2,PIN_J27,,,,,,
InputA[0],Input,PIN_AB28,5,B5_N1,PIN_J28,,,,,,
