# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Lite Edition
# File: C:\Users\welly\Documents\GitHub\LT39A\projeto01\projeto01.csv
# Generated on: Tue Sep 03 19:50:06 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
DB[7],Output,PIN_M5,1,B1_N2,PIN_M5,2.5 V,,,,,
DB[6],Output,PIN_M3,1,B1_N1,PIN_M3,2.5 V,,,,,
DB[5],Output,PIN_K2,1,B1_N1,PIN_K2,2.5 V,,,,,
DB[4],Output,PIN_K1,1,B1_N1,PIN_K1,2.5 V,,,,,
DB[3],Output,PIN_K7,1,B1_N1,PIN_K7,2.5 V,,,,,
DB[2],Output,PIN_L2,1,B1_N2,PIN_L2,2.5 V,,,,,
DB[1],Output,PIN_L1,1,B1_N2,PIN_L1,2.5 V,,,,,
DB[0],Output,PIN_L3,1,B1_N1,PIN_L3,2.5 V,,,,,
E,Output,PIN_L4,1,B1_N1,PIN_L4,2.5 V,,,,,
Header40[40],Output,PIN_AG26,4,B4_N0,PIN_AH23,2.5 V,,,,,
Header40[39],Output,PIN_AH26,4,B4_N0,PIN_AF20,2.5 V,,,,,
Header40[38],Output,PIN_AG23,4,B4_N1,PIN_AE20,2.5 V,,,,,
Header40[37],Output,PIN_AF26,4,B4_N1,PIN_AH22,2.5 V,,,,,
Header40[36],Output,PIN_AE24,4,B4_N0,PIN_AG22,2.5 V,,,,,
Header40[35],Output,,,,PIN_B10,,,,,,
Header40[34],Output,PIN_AE25,4,B4_N1,PIN_AH25,2.5 V,,,,,
Header40[33],Output,PIN_AD25,4,B4_N0,PIN_AG25,2.5 V,,,,,
Header40[32],Output,PIN_AD22,4,B4_N0,PIN_AF22,2.5 V,,,,,
Header40[31],Output,PIN_AF21,4,B4_N1,PIN_AE22,2.5 V,,,,,
Header40[30],Output,PIN_AC22,4,B4_N0,PIN_AF25,2.5 V,,,,,
Header40[29],Output,PIN_AE21,4,B4_N1,PIN_AF24,2.5 V,,,,,
Header40[28],Output,PIN_AF15,4,B4_N2,PIN_AD19,2.5 V,,,,,
Header40[27],Output,PIN_AF16,4,B4_N2,PIN_AC19,2.5 V,,,,,
Header40[26],Output,,,,PIN_AE26,,,,,,
Header40[25],Output,PIN_AE15,4,B4_N2,PIN_AD15,2.5 V,,,,,
Header40[24],Output,PIN_AE16,4,B4_N2,PIN_AD21,2.5 V,,,,,
Header40[23],Output,PIN_Y16,4,B4_N0,PIN_AC21,2.5 V,,,,,
Header40[22],Output,PIN_Y17,4,B4_N0,PIN_AB21,2.5 V,,,,,
Header40[21],Output,PIN_AC15,4,B4_N2,PIN_AB22,2.5 V,,,,,
Header40[20],Output,PIN_AH23,4,B4_N1,PIN_AG26,2.5 V,,,,,
Header40[19],Output,PIN_AF20,4,B4_N1,PIN_AH26,2.5 V,,,,,
Header40[18],Output,PIN_AE20,4,B4_N1,PIN_AG23,2.5 V,,,,,
Header40[17],Output,PIN_AH22,4,B4_N1,PIN_AF26,2.5 V,,,,,
Header40[16],Output,PIN_AG22,4,B4_N1,PIN_AE24,2.5 V,,,,,
Header40[15],Output,,,,PIN_AE4,,,,,,
Header40[14],Output,PIN_AH25,4,B4_N1,PIN_AE25,2.5 V,,,,,
Header40[13],Output,PIN_AG25,4,B4_N1,PIN_AD25,2.5 V,,,,,
Header40[12],Output,PIN_AF22,4,B4_N0,PIN_AD22,2.5 V,,,,,
Header40[11],Output,PIN_AE22,4,B4_N0,PIN_AF21,2.5 V,,,,,
Header40[10],Output,PIN_AF25,4,B4_N1,PIN_AC22,2.5 V,,,,,
Header40[9],Output,PIN_AF24,4,B4_N1,PIN_AE21,2.5 V,,,,,
Header40[8],Output,PIN_AD19,4,B4_N0,PIN_AF15,2.5 V,,,,,
Header40[7],Output,PIN_AC19,4,B4_N0,PIN_AF16,2.5 V,,,,,
Header40[6],Output,,,,PIN_AD18,,,,,,
Header40[5],Output,PIN_AD15,4,B4_N2,PIN_AE15,2.5 V,,,,,
Header40[4],Output,PIN_AD21,4,B4_N0,PIN_AE16,2.5 V,,,,,
Header40[3],Output,PIN_AC21,4,B4_N0,PIN_Y16,2.5 V,,,,,
Header40[2],Output,PIN_AB21,4,B4_N0,PIN_Y17,2.5 V,,,,,
Header40[1],Output,PIN_AB22,4,B4_N0,PIN_AC15,2.5 V,,,,,
LCD_Blon,Output,PIN_L6,1,B1_N2,PIN_L6,2.5 V,,,,,
LCD_On,Output,PIN_L5,1,B1_N1,PIN_L5,2.5 V,,,,,
RS,Output,PIN_M2,1,B1_N2,PIN_M2,2.5 V,,,,,
RW,Output,PIN_M1,1,B1_N2,PIN_M1,2.5 V,,,,,
clock,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
col[2],Input,PIN_J10,8,B8_N1,PIN_J10,2.5 V,,,,,
